c_n p_p, c_n p_m, c_n p_g, p_m c_p, p_m c_n, p_m c_m
193,384,813,1,384,2107
227,419,754,2,419,2384
185,421,744,2,421,2229
205,400,833,2,400,2853
182,439,786,2,439,2420
188,340,676,1,340,2439
172,387,807,1,387,2551
235,364,893,2,364,2241
225,397,937,1,397,2129
193,440,779,1,440,1963
133,246,476,0,246,1793
122,280,447,0,280,2755
121,228,488,0,228,3008
123,261,454,0,261,2988
123,244,509,0,244,3036
112,252,489,0,252,3032
118,262,502,0,262,2718
114,239,496,0,239,2869
118,241,511,0,241,2787
113,241,500,0,241,3390
138,271,522,0,271,2025
128,267,568,0,267,1865
145,284,582,0,284,2072
140,285,612,0,285,2031
130,253,607,0,253,2063
145,270,653,0,270,2059
135,280,651,0,280,1971
134,260,661,0,260,1951
139,251,607,0,251,1934
143,282,746,0,282,2302
